uid	followers_count	friends_count	statuses_count	favourites_count	listed_count	created_year	name_words	screen_name_length	description_length
1392518336	0.000287642507502	0.00285673328965	0.0175217898366	0.0137639023269	0.00245733178447	0.7	0.125	0.666666666667	0.746478873239
361208576	0.000152479389428	0.00196933704675	0.00712461352332	0.00218605408616	0.000625502636047	0.5	0.25	0.416666666667	0.605633802817
1535215357	0.000571196450934	0.00831422018349	0.170711880048	0.168889442374	0.0015190778304	0.7	0.0	0.666666666667	0.107981220657
4396196375	0.000299427192174	0.00331067059851	0.0335249216147	0.0518215520792	0.00167545348941	0.9	0.0	0.833333333333	0.746478873239
17938477	8.0328258784e-05	0.00170653123635	0.00496561220449	0.0154135014226	0.00125100527209	0.2	0.25	1.0	0.18779342723
720288026681716737	1.73162713546e-05	0.000238914373089	0.0086841445559	7.0888695169e-05	0.00194352604772	1.0	0.125	0.75	0.403755868545
174004739	8.85053869237e-05	0.00641314438619	0.0512274608255	0.254653268065	0.000625502636047	0.4	0.0	0.75	0.0
53783678	0.000183504375605	0.00368952053298	0.0357983672609	0.133636685858	0.00116164775266	0.3	0.25	0.5	0.568075117371
257662370	0.000183985383143	0.0046997870249	0.0174809168626	0.0180421308759	0.000647842015906	0.5	0.25	0.916666666667	0.413145539906
4795355113	6.87840778809e-05	0.00138570336391	0.000703923442195	0.000798934753662	0.000178715038871	1.0	0.25	0.916666666667	0.75117370892
1633971270	2.74174296448e-05	0.000201370685889	0.00696475478032	0.0113556026018	4.46787597176e-05	0.7	0.125	0.833333333333	0.37558685446
2803810119	1.39492185912e-05	0.00110583224115	0.00358319739285	0.0157411221489	6.70181395764e-05	0.8	0.0	0.583333333333	0.0
2244770588	0.0114042077096	0.0827633519004	0.0113318049869	0.00379925087892	0.00527209364668	0.7	0.0	0.916666666667	0.600938967136
102071251	8.36953115474e-05	0.00266901485365	0.00514636157868	0.00132772610141	0.000491466356894	0.4	0.125	0.25	0.488262910798
3358825450	8.22522889345e-05	0.000477828746177	0.0041245372271	0.0203833737271	0.0	0.9	0.0	0.75	0.0892018779343
555940842	0.000104378635665	0.00141642092617	0.0385359482348	0.0237228060428	0.000111696899294	0.6	0.0	0.75	0.276995305164
2469354073	2.0683324118e-05	0.000153587811271	0.000133518381939	3.44863922444e-05	0.000268072558306	0.8	0.125	1.0	0.0
360464656	9.54799962193e-05	0.00281918960245	0.074398803966	0.0251271685714	0.000312751318023	0.5	0.125	0.75	0.69014084507
77243076	2.16453391933e-05	0.000645068807339	0.0111892037218	7.66364272098e-06	0.000223393798588	0.3	0.25	0.75	0.239436619718
1731752761	3.60755653221e-06	0.000139935561381	4.26895506879e-05	0.000116870551495	0.0	0.7	0.0	0.666666666667	0.173708920188
2330149164	0.000104859643203	0.00161096548711	0.023234015034	0.00277998639703	0.000268072558306	0.8	0.0	0.666666666667	0.112676056338
2830586398	4.11261444672e-05	0.00135839886413	0.00107813822695	0.00134880111889	6.70181395764e-05	0.8	0.25	1.0	0.389671361502
